자연어 쿼리,tagging된 자연어 쿼리,활용 여부,DB Query,,,,
who started pixar?,who started <ORGANIZATION>?,O,match (o)-[:FOUNDED_BYU]-(h) where o.name=<ORGANIZATION> return h.name,,,,
who is tia and tamera mowry parents?,who is <PERSON> parents?,O,match (p)-[:CHILD]-(c) where c.name=<PERSON> return p.name,,,,
what political party was lincoln?,what political party was <PERSON>?,X,,,,,
what would have happened if germany had won ww1?,what would have happened if <LOCATION> had won ww1?,X,,,,,
what kind of government is china?,what kind of government is <LOCATION>?,X,,,,,
where is the nation of greece located?,where is the nation of <LOCATION> located?,O,match (n)-[:CONTINENT]-(c) where n.name=<LOCATION> return c.name,,,,
what three countries does mexico border?,what <NUMBER> countries does <LOCATION> border?,O,match (c)-[:SHARES_BORDER_WITH]-(n) where c.name=<LOCATION> return n.name,,,,
what year was the new york blackout?,what <DURATION> was the <LOCATION> blackout?,X,,,,,
which countries have english as native language?,which countries have <MISC> as native language?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) return lang.name,,,,
what position does rafael furcal play?,what position does <PERSON> play?,X,,,,,
what are major exports of the usa?,what are major exports of the <LOCATION>?,X,,,,,
what shows did kellie martin star in?,what shows did <PERSON> star in?,O,match (s)-[:PERFORMER]-(h) where h.name=<PERSON> return s.name,,,,
where did rihanna grow up?,where did <PERSON> grow up?,X,,,,,
where is whistler mountain located?,where is <LOCATION> mountain located?,O,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<LOCATION> return location.name,,,,
what currency do i need in cuba?,what currency do i need in <LOCATION>?,O,match (loc)-[:CURRENCY]-(currency) return currency.name,,,,
who is julia roberts married to 2012?,who is <PERSON> married to?,O,MATCH (x)-[r:SPOUSE]-(p) WHERE p.name = <PERSON> RETURN x.name,,,,
what sport does rebecca adlington compete in?,what sport does <PERSON> compete in?,X,,,,,
when did the christchurch quake happened?,when did the <LOCATION> quake happened?,X,,,,,
what other countries does canada trade with?,what other countries does <LOCATION> trade with?,X,,,,,
what to see in singapore at night?,what to see in <LOCATION> at <TIME>?,X,,,,,
who played mason capwell?,who played <PERSON>?,X,,,,,
what is james madison most famous for?,what is <PERSON> most famous for?,O,match (m)-[:COMPOSER]-(w) where m.name=<PERSON> return w.name,,,,
who did the maccabees revolted against?,who did the <ORGANIZATION> revolted against?,X,,,,,
where was the battle of antietam creek?,where was the battle of <LOCATION>?,X,,,,,
during what war did abraham lincoln serve as president?,during what war did <PERSON> serve as president?,X,,,,,
who are shakespeare's parents names?,who are <PERSON>'s parents names?,O,match (p)-[:CHILD]-(c) where c.name=<PERSON> return p.name,,,,
where is she from shakira?,where is <PERSON> from ?,O,match (h)-[:PLACE_OF_BIRTH]-(p) where h.name=<PERSON> return p.name,,,,
who plays captain kirk in 2009?,who plays captain <PERSON> in <DATE>?,X,,,,,
who did hera marry?,who did <PERSON> marry?,O,match (h)-[:SPOUSE]-(s) where h.name=<PERSON> return s.name,,,,
what type of guitar does kirk hammett play?,what type of guitar does <PERSON> play?,X,,,,,
what language they speak in the philippines?,what language they speak in the <LOCATION>?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) return lang.name,,,,
where is the kakadu national park located?,where is the <LOCATION> national park located?,O,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<LOCATION> return location.name,,,,
what to do with kids in denver today?,what to do with kids in <LOCATION> <DATE>?,X,,,,,
what money does jamaica use?,what money does <LOCATION> use?,O,match (loc)-[:CURRENCY]-(currency) where loc.name=<LOCATION> return currency.name,,,,
what year did william mckinley became president?,what <DURATION> did <PERSON> became president?,X,,,,,
what date did kennedy become president?,what date did <PERSON> become president?,X,,,,,
what timezone is colorado in right now?,what timezone is <LOCATION> in <DATE>?,O,match (m)-[:LOCATED_IN_TIME_ZONE]-(n) where m.name = <LOCATION> return n.name,,,,
who owns aston martin 2012?,who owns <ORGANIZATION> <DATE>?,O,match (o)-[:OWNED_BY]-(h) where o.name=<ORGANIZATION> return h.name,,,,
what disease has jack osbourne got?,what disease has <PERSON> got?,X,,,,,
what do the islamic believe?,what do the <MISC> believe?,O,match (h)-[:RELIGION]-(r) where h.name=<MISC> return r.name,,,,
who will david beckham play for in 2013?,who will <PERSON> play for in <DATE>?,O,match (h:Human)-[:MEMBER_OF]-(b) where h.name=<PERSON> return b.name,,,,
what language they speak in taiwan?,what language they speak in <LOCATION>?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) return lang.name,,,,
who owns the toronto maple leafs?,who owns the <ORGANIZATION>?,O,match (o)-[:OWNED_BY]-(h) where o.name=<ORGANIZATION> return h.name,,,,
what county is novato california in?,what county is <LOCATION> in?,O,match (loc)-[:COUNTRY]-(c) where loc.name=<LOCATION> return c.name,,,,
what are the basic beliefs of sikhism?,what are the basic beliefs of <LOCATION>?,X,,,,,
where did hernando cortez die?,where did <PERSON> die?,O,MATCH (p)-[r:PLACE_OF_DEATH]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
who was liz taylor married too?,who was <PERSON> married too?,O,MATCH (x)-[r:SPOUSE]-(p) WHERE p.name = <PERSON> RETURN x.name,,,,
where was the ancient region of mesopotamia?,where was the ancient region of <LOCATION>?,O,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<LOCATION> return location.name,,,,
who was real housewives brandi married to?,who was real housewives <PERSON> married to?,O,MATCH (x)-[r:SPOUSE]-(p) WHERE p.name = <PERSON> RETURN x.name,,,,
when did the charlotte bobcats first play in the nba?,when did the <ORGANIZATION> <ORDINAL> play in the nba?,X,,,,,
what's the book hitler wrote in prison?,what's the book <PERSON> wrote in prison?,O,match (m)-[:COMPOSER]-(w) where m.name=<PERSON> return w.name,,,,
where is the ottoman empire located?,where is the <MISC> empire located?,O,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<LOCATION> return location.name,,,,
which city held the summer olympics twice?,which city held the <DATE> <MISC> twice?,X,,,,,
who are the green bay packers owned by?,who are the <ORGANIZATION> owned by?,O,match (o)-[:OWNED_BY]-(h) where o.name=<ORGANIZATION> return h.name,,,,
what inspired langston hughes to write poetry?,what inspired <PERSON> to write poetry?,O,match (h)-[:INFLUENCED_BY]-(w) where h.name=<PERSON> return w.name,,,,
what languages are there in switzerland?,what languages are there in <LOCATION>?,O,match (h)-[:LANGUAGE_USED]-(lang) where h.name=<LOCATION> return lang.name,,,,
when was the last time the orioles had a winning season?,when was the last time the <ORGANIZATION> had a winning season?,X,,,,,
what does australia export?,what does <LOCATION> export?,X,,,,,
where did henry knox die?,where did <PERSON> die?,O,MATCH (p)-[r:PLACE_OF_DEATH]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
who was the queen of the iceni tribe?,who was the queen of the <LOCATION>?,O,match (c)-[:HEAD_OF_STATE]-(h) where c.name=<LOCATION> return h.name,,,,
what is the name of the first prophet of islam?,what is the name of the <ORDINAL> prophet of <MISC>?,X,,,,,
who is married to garry trudeau?,who is married to <PERSON>?,O,MATCH (x)-[r:SPOUSE]-(p) WHERE p.name = <PERSON> RETURN x.name,,,,
where does norway get their oil?,where does <LOCATION> get their oil?,X,,,,,
what language do they speak in northern ireland?,what language do they speak in <LOCATION>?,O,match (h)-[:OFFICIAL_LANGUAGE]-(lang) return lang.name,,,,
what countries make up continental europe?,what countries make up continental <LOCATION>?,O,match (c:Country)-[:CONTINENT]-(e) where e.name=<LOCATION> return c.name,,,,
what do abrahamic religions have in common?,what do <MISC> religions have in common?,X,,,,,
what did johnny crawford sing?,what did <PERSON> sing?,O,match (s)-[:PERFORMER]-(h) where h.name=<PERSON> return s.name,,,,
what did abraham lincoln do before he was president?,what did <PERSON> do before he was president?,X,,,,,
what sport does sally pearson compete in?,what sport does <PERSON> compete in?,X,,,,,
where is atlanta texas located?,where is <LOCATION> located?,O,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<LOCATION> return location.name,,,,
who did elton john marry first?,who did <PERSON> marry <ORDINAL>?,O,match (h)-[:SPOUSE]-(s) where h.name=<PERSON> return s.name,,,,
where is tom cruise from?,where is <PERSON> from?,O,match (h)-[:PLACE_OF_BIRTH]-(p) where h.name=<PERSON> return p.name,,,,
what movies did madonna appear in?,what movies did <PERSON> appear in?,O,match (h:Human)-[:FILMOGRAPHY]-(f) where h.name=<PERSON> match (f)-[:HAS_PART]-(m) return m.name,,,,
where does leland chapman live now?,where does <PERSON> live <DATE>?,X,,,,,
where was the roman colosseum located?,where was the <MISC> located?,O,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<LOCATION> return location.name,,,,
what date was abraham lincoln inaugurated?,what date was <PERSON> inaugurated?,X,,,,,
what invention did henry ford invent?,what invention did <PERSON> invent?,X,,,,,
what time zone is new york under?,what time zone is <LOCATION> under?,O,match (m)-[:LOCATED_IN_TIME_ZONE]-(n) where m.name = <LOCATION> return n.name,,,,
when did mayans predict end of the world?,when did <MISC> predict end of the world?,X,,,,,
what is the name of the book hitler wrote while in prison?,what is the name of the book <PERSON> wrote while in prison?,O,match (m)-[:COMPOSER]-(w) where m.name=<PERSON> return w.name,,,,
who voiced meg in the pilot?,who voiced <PERSON> in the pilot?,X,,,,,
what albert einstein do for math?,what <PERSON> do for math?,X,,,,,
where did bashar al assad study?,where did <PERSON> study?,X,,,,,
who plays lois lane in superman returns?,who plays <PERSON> in superman returns?,X,,,,,
what did joseph lister do for science?,what did <PERSON> do for science?,X,,,,,
who is the voice of stewie griffin from family guy?,who is the voice of <PERSON> from family guy?,X,,,,,
who uses new king james bible?,who uses new king <PERSON>?,X,,,,,
what films did charlie chaplin direct?,what films did <PERSON> direct?,X,,,,,
who does lea michele dating in real life?,who does <PERSON> dating in real life?,X,,,,,
when did joe walsh leave the eagles?,when did <PERSON> leave <MISC>?,X,,,,,
when was the musical annie written?,when was the musical <PERSON> written?,X,,,,,
what should you see in london?,what should you see in <LOCATION>?,X,,,,,
who does billy beane work for now?,who does <PERSON> work for <DATE>?,X,member_of_sports_team,,,,
what subatomic particles did jj thomson discover?,what subatomic particles did <PERSON> discover?,X,,,,,
what films have taylor lautner been in?,what films have <PERSON> been in?,O,match (h:Human)-[:FILMOGRAPHY]-(f) where h.name=<PERSON> match (f)-[:HAS_PART]-(m) return m.name,,,,
who were anakin skywalker's parents?,who were <PERSON>'s parents?,O,match (p)-[:CHILD]-(c) where c.name=<PERSON> return p.name,,,,
what country is the name natalie from?,what country is the name <PERSON> from?,X,natalie 이름이 유래된 나라,,,,
who played the voice of aladdin?,who played the voice of <PERSON>?,X,,,,,
what exactly did dale earnhardt die from?,what exactly did <PERSON> die from?,O,match (h)-[:CAUSE_OF_DEATH]-(c) where h.name=<PERSON> return c.name,,,,
what year did miami heat win the championship?,what <DURATION> did <ORGANIZATION> win the championship?,X,,,,,
what kind of government did benito mussolini have?,what kind of government did <PERSON> have?,X,,,,,
who was emperor diocletian?,who was emperor <PERSON>?,O,match (h:Human) where h.name=<PERSON> return h.descEn,,,,
who is chelsea kane?,who is <PERSON>?,O,match (h:Human) where h.name=<PERSON> return h.descEn,,,,
who is darwin and what is his theory?,who is <PERSON> and what is his theory?,O,match (h:Human) where h.name=<PERSON> return h.descEn,,,,
what did obama study in school?,what did <PERSON> study in school?,X,,,,,
where did deion sanders play baseball?,where did <PERSON> play baseball?,X,member_of_sports_team,,,,
who is the new governor of oregon?,who is the new governor of <LOCATION>?,O,match (loc)-[:HEAD_OF_GOVERNMENT]-(h) where loc.name=<LOCATION> return h.name,,,,
what continent is south africa part of?,what continent is <LOCATION> part of?,O,match (n)-[:CONTINENT]-(c) where n.name=<LOCATION> return c.name,,,,
who was michael jackson's best friend?,who was <PERSON>'s best friend?,X,,,,,
what movies has taylor lautner been in 2011?,what movies has <PERSON> been in <DATE>?,O,match (h:Human)-[:FILMOGRAPHY]-(f) where h.name=<PERSON> match (f)-[:HAS_PART]-(m) return m.name,,,,
where does the australian prime minister reside?,where does the <MISC> prime minister reside?,X,,,,,
what did kate winslet get an oscar for?,what did <PERSON> get an oscar for?,X,,,,,
what company did henry ford work for?,what company did <PERSON> work for?,X,,,,,
what happened to thomas cromwell's children?,what happened to <PERSON>'s children?,X,,,,,
where indian ocean is located?,where <LOCATION> is located?,O,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<LOCATION> return location.name,,,,
what year was the navy chief established?,what <DURATION> was the <ORGANIZATION> chief established?,X,,,,,
what year did the orioles win 100 games?,what <DURATION> did the <ORGANIZATION> win <NUMBER> games?,X,,,,,
who was mary's mother?,who was <PERSON>'s mother?,O,match (h)-[:MOTHER]-(m) where h.name=<PERSON> return m.name,,,,
where is american express located?,where is <ORGANIZATION> located?,O,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<ORGANIZATION> return location.name,,,,
what is the china money called?,what is the <LOCATION> money called?,O,match (loc)-[:CURRENCY]-(currency) where loc.name=<LOCATION> return currency.name,,,,
what is the government of spain today?,what is the government of <LOCATION> <DATE>?,X,,,,,
where is the howard university located?,where is the <ORGANIZATION> located?,O,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<ORGANIZATION> return location.name,,,,
where did terrell owens get traded to?,where did <PERSON> get traded to?,X,,,,,
what do catholics call their god?,what do <MISC> call their god?,X,,,,,
